label,pay_period_starts,pay_period_ends,base_salary,aux_transp,incentive_transp,sunday_bonus,holiday_bonus,night_bonus,day_overtime,night_overtime,other_bonuses,gross_earnings,total_deductions,net_pay
16 al 30 de Abril 2023,4/16/2023,4/30/2023,980000,65616,112404,0,0,0,0,0,0,1158020,78400,1079620
01 al 15 de Mayo 2023,5/1/2023,5/15/2023,1050000,70303,0,0,0,0,0,0,0,1120303,87442,1032861
16 al 31 de Mayo 2023,5/16/2023,5/31/2023,1050000,70303,129697,0,0,0,0,0,0,1250000,84000,1166000
01 al 15 de Junio 2023,6/1/2023,6/15/2023,1050000,70303,0,0,118125,0,0,0,50000,1288428,142153,1146275
16 al 30 de Junio 2023,6/16/2023,6/30/2023,1050000,70303,259394,0,0,0,0,0,0,1379697,84000,1295697
01 al 15 de Julio 2023,7/1/2023,7/15/2023,1050000,70303,0,234640,0,0,0,0,28692,1383635,105067,1278568
16 al 31 de Julio 2023,7/16/2023,7/31/2023,1050000,70303,259394,0,0,0,0,0,0,1379697,84000,1295697
01 al 15 de Agosto 2023,8/1/2023,8/15/2023,1050000,70303,0,176937,59026,0,32747,0,16532,1405545,263195,1142350
16 al 31 de Agosto 2023,8/16/2023,8/31/2023,1050000,70303,259394,0,0,0,0,0,0,1379697,84000,1295697
01 al 15 de Septiembre 2023,9/1/2023,9/15/2023,1050000,70303,0,240372,63212,2788,0,0,370,1427045,143003,1284042
16 al 30 de Septiembre 2023,9/16/2023,9/30/2023,1050000,70303,259394,0,0,0,0,0,0,1379697,84000,1295697
01 al 15 de Octubre 2023,10/1/2023,10/15/2023,1050000,70303,0,172987,0,1793,0,0,227917,1523000,137600,1385400
16 al 30 de Octubre 2023,10/16/2023,10/31/2023,1050000,70303,259394,0,0,0,0,0,0,1379697,84000,1295697
01 al 15 de Noviembre 2023,11/1/2023,11/15/2023,1050000,70303,0,252737,0,4910,43966,28060,332706,1782682,112990,1669692
16 al 30 de Noviembre 2023,11/16/2023,11/30/2023,1050000,70303,259394,0,0,0,0,0,0,1379697,84000,1295697
01 al 15 de Diciembre 2023,12/1/2023,12/15/2023,1050000,70303,0,238864,60922,60020,0,13047,316979,1810135,115186,3024807
16 al 30 de Diciembre 2023,12/16/2023,12/31/2023,1050000,70303,259394,0,0,0,0,0,93358,1473055,84000,1389055
01 al 15 de Enero 2024,1/1/2024,1/15/2024,1050000,81000,0,166012,59649,31277,0,119745,822966,2330649,146778,2183871
16 al 30 de Enero 2024,1/16/2024,1/31/2024,1050000,81000,0,0,0,0,0,0,47600,1178600,87808,1090792
01 al 15 de Febrero 2024,2/1/2024,2/15/2024,1050000,81000,0,257877,0,8564,0,29360,334278,1761079,110406,1650673
16 al 17 de febrero de 2024,2/16/2024,2/17/2024,140000,81000,0,0,0,0,0,0,0,140000,0,140000
